subject_removed,train_windows_removed,test_windows_eval,base_acc_other,new_acc_other,delta_acc_other,base_bacc_other,new_bacc_other,delta_bacc_other,base_f1_other,new_f1_other,delta_f1_other
subject10,2627,6977,0.5102479575748889,0.5473699297692418,0.03712197219435287,0.507742625747292,0.5451898220831072,0.03744719633581517,0.4979404446458624,0.5389030656933118,0.04096262104744941
Matthew,2376,6726,0.5107047279214987,0.528099910793934,0.017395182872435355,0.5073676969606096,0.5247618949100955,0.017394197949485934,0.5021501167026293,0.519674769285616,0.017524652582986633
subject06,2251,6601,0.5041660354491744,0.5190122708680502,0.014846235418875864,0.5021963330689517,0.5170302890659243,0.01483395599697257,0.4894421440110448,0.5077409675396597,0.018298823528614894
subject08,3000,7350,0.5070748299319728,0.5205442176870748,0.01346938775510198,0.5048290519834907,0.5183934863995286,0.01356443441603794,0.49441336103280764,0.509265139835977,0.014851778803169347
subject09,1994,6344,0.5069356872635561,0.5167087011349306,0.009773013871374525,0.5046951399922649,0.5146537825637925,0.009958642571527565,0.49802779098964534,0.5104120445853969,0.012384253595751571
subject04,2405,6755,0.48142116950407104,0.4910436713545522,0.009622501850481135,0.4788765203496837,0.4880511306665634,0.009174610316879717,0.46668777833200403,0.47451725340425394,0.007829475072249903
subject12,3000,7350,0.5070748299319728,0.5127891156462585,0.005714285714285672,0.5048290519834907,0.510675861148146,0.005846809164655298,0.49441336103280764,0.5033518686427317,0.008938507609924096
subject07,2628,6978,0.5001433075379765,0.505445686443107,0.0053023789051304115,0.497870892563624,0.5035221989061668,0.0056513063425427945,0.4851097567597691,0.48959132045906567,0.004481563699296587
subject03,3000,7350,0.5070748299319728,0.5126530612244898,0.005578231292517,0.5048290519834907,0.5103701118047806,0.00554105982128994,0.49441336103280764,0.4980217810570429,0.0036084200242352815
subject02,1734,6084,0.4589086127547666,0.4640039447731755,0.005095332018408949,0.45736710068922865,0.462491535959366,0.00512443527013734,0.44367461250003376,0.449826534934944,0.006151922434910251
subject05,1494,5844,0.5781998631074606,0.5792265571526352,0.0010266940451745254,0.5756381964632495,0.5769102309440214,0.0012720344807718442,0.5640362169941974,0.5672237375324339,0.0031875205382365657
subject11,2141,6491,0.518256046834078,0.5167154521645355,-0.0015405946695424833,0.5173801894590755,0.5158079858354016,-0.00157220362367394,0.5088612611357748,0.5074042772423831,-0.0014569838933916612
