arm,subject,file_name,n_kept_windows,n_present_classes,sep_score_all,sep_score_active_only,active_vs_neutral_amp_ratio,kept_label_entropy_bits,cnt_neutral,cnt_left_turn,cnt_right_turn,cnt_signal_left,cnt_signal_right,cnt_horn
right arm,Matthew,Matthew_session01_relabeled_first_gesture_dropped_filtered.npz,2378,6,1.151294874955122,1.0525662772263267,3.3277363506516564,2.5804567753970873,410,328,410,410,410,410
right arm,Matthew,Matthew_session02_relabeled_first_gesture_dropped_filtered.npz,2379,6,1.0968222446528095,0.9522802744385863,3.5716526721577653,2.580437499007382,410,328,410,410,411,410
right arm,Matthew,Matthew_session03_relabeled_first_gesture_dropped_filtered.npz,2378,6,1.166067171758392,1.476222508700433,1.8786924488965435,2.5804567753970873,410,328,410,410,410,410
right arm,Matthew,Matthew_session04_relabeled_first_gesture_dropped_filtered.npz,2380,6,1.3559364592253744,1.1739880231635305,2.929367054913327,2.58041849361851,410,328,410,410,411,411
right arm,Matthew,Matthew_session05_relabeled_first_gesture_dropped_filtered.npz,2378,6,1.5438705137880535,1.4474069009975579,3.391955604067232,2.5804567753970873,410,328,410,410,410,410
right arm,Matthew,Matthew_session06_relabeled_first_gesture_dropped_filtered.npz,2378,6,1.1888856143698847,0.9800340129938755,3.0765297543106134,2.5804567753970873,410,328,410,410,410,410
right arm,Matthew,Matthew_session07_relabeled_first_gesture_dropped_filtered.npz,2378,6,1.3921160380914572,1.1906174489223376,3.461144807134167,2.5804567753970873,410,328,410,410,410,410
right arm,Matthew,Matthew_session08_relabeled_first_gesture_dropped_filtered.npz,2378,6,1.6738307369806995,1.5841160398878915,3.115558823339012,2.5804567753970873,410,328,410,410,410,410
right arm,Matthew,Matthew_session09_filtered.npz,2460,6,2.271137432574084,2.234107760602956,2.025104661107334,2.584962500721156,410,410,410,410,410,410
right arm,Matthew,Matthew_session10_filtered.npz,2460,6,2.310818429049698,2.2347793620650758,2.209972385434269,2.584962500721156,410,410,410,410,410,410
right arm,Matthew,Matthew_session11_filtered.npz,2460,6,2.6644926700408385,2.7902206849898796,1.7821407448063085,2.584962500721156,410,410,410,410,410,410
right arm,Matthew,Matthew_session12_filtered.npz,2460,6,2.582887638528322,2.476260058546354,2.476818480638058,2.584962500721156,410,410,410,410,410,410
right arm,Matthew,Matthew_session13_filtered.npz,2459,6,2.455062933154235,2.5245959604586887,2.0518955634023777,2.58496190391518,410,410,410,410,410,409
right arm,Matthew,Matthew_session14_filtered.npz,2460,6,2.3797321853229443,2.2233225616489696,2.2478479888109044,2.584962500721156,410,410,410,410,410,410
right arm,Matthew,Matthew_session15_filtered.npz,2461,6,3.1608843870679966,3.0714088776178134,2.4604544907541834,2.5849619055303514,410,411,410,410,410,410
right arm,Matthew,Matthew_session16_filtered.npz,2461,6,2.7167599955085895,2.5125757914119276,2.447278059382198,2.5849619055303514,411,410,410,410,410,410
right arm,Matthew,Matthew_session17_filtered.npz,2459,6,2.987217177221894,2.801788590005691,2.7000457653783885,2.58496190391518,410,410,409,410,410,410
right arm,Matthew,Matthew_session18_filtered.npz,2460,6,2.6943160028758943,2.6112364577817155,2.349992255942572,2.584962500721156,410,410,410,410,410,410
right arm,Matthew,Matthew_session19_filtered.npz,2460,6,2.9221500078120783,2.7868906979561863,2.485596789047718,2.584961070326082,410,410,410,410,409,411
right arm,Matthew,Matthew_session20_filtered.npz,2462,6,2.316173809190864,2.1578268760725017,2.3308305289291744,2.584961548931543,410,410,411,411,410,410
right arm,Matthew,Matthew_session21_filtered.npz,2460,6,0.5184253772652178,0.5111093463535982,1.8036358907476733,2.5849610703260826,410,410,410,409,411,410
right arm,Matthew,Matthew_session22_filtered.npz,2820,6,1.2440711907185162,1.3680165823734067,1.2905127852606864,2.584962500721156,470,470,470,470,470,470
right arm,subject02,subject02_session01_relabeled_first_gesture_dropped_filtered.npz,2375,6,1.5033713816904444,1.1050671236843688,2.994654682782202,2.580511790304105,409,328,409,410,410,409
right arm,subject02,subject02_session02_relabeled_first_gesture_dropped_filtered.npz,2378,6,1.385739270098376,1.1017580561954579,2.5386288578693907,2.5804567753970873,410,328,410,410,410,410
right arm,subject02,subject02_session03_relabeled_first_gesture_dropped_filtered.npz,2380,6,1.873805642692922,1.6107750200198876,2.537941852580609,2.58041849361851,411,328,410,411,410,410
right arm,subject02,subject02_session04_relabeled_first_gesture_dropped_filtered.npz,2377,6,1.7268846124230282,1.3637160078775048,2.7237540145247015,2.5804748428953848,410,328,410,410,410,409
right arm,subject02,subject02_session05_relabeled_first_gesture_dropped_filtered.npz,2378,6,2.3764276658740675,1.991912270925607,2.3326774198384115,2.5804567753970873,410,328,410,410,410,410
right arm,subject02,subject02_session06_relabeled_first_gesture_dropped_filtered.npz,2377,6,2.4145719327669264,2.0003174385154616,2.5925451716405967,2.5804748428953848,410,328,410,409,410,410
right arm,subject02,subject02_session07_relabeled_first_gesture_dropped_filtered.npz,2378,6,1.975599744238642,1.6007160334591604,2.521710879815541,2.5804567753970873,410,328,410,410,410,410
right arm,subject03,subject03_session01_relabeled_first_gesture_dropped_filtered.npz,2377,6,1.3185361902028518,1.4414350733218695,1.3556644926214632,2.5804748428953848,409,328,410,410,410,410
right arm,subject03,subject03_session02_relabeled_first_gesture_dropped_filtered.npz,2379,6,1.2549669053937833,1.2963450411755262,1.3891597581518442,2.580437499007382,410,328,410,411,410,410
right arm,subject03,subject03_session03_relabeled_first_gesture_dropped_filtered.npz,2378,6,1.49710292122391,1.3640818698819561,1.5308506747734696,2.5804567753970873,410,328,410,410,410,410
