arm,subject,file_name,applied_calib,calib_ratio_median,n_kept_windows,sep_score_all_norm,sep_score_active_norm,active_vs_neutral_amp_ratio_norm
right arm,Matthew,Matthew_session01_relabeled_first_gesture_dropped_filtered.npz,1,1.7211193378402807,2378,0.9800335001776234,0.9202477957861571,2.7933647230790797
right arm,Matthew,Matthew_session02_relabeled_first_gesture_dropped_filtered.npz,1,15.364749883856168,2379,1.227326158832832,1.1238416361892456,3.729478664329794
right arm,Matthew,Matthew_session03_relabeled_first_gesture_dropped_filtered.npz,1,4.1643686595926654,2378,1.4055905918014637,1.7324099834713482,1.8480129870004578
right arm,Matthew,Matthew_session04_relabeled_first_gesture_dropped_filtered.npz,1,3.6129966219754968,2380,1.4461148004620186,1.3860315153746026,2.2815000837804176
right arm,Matthew,Matthew_session05_relabeled_first_gesture_dropped_filtered.npz,1,30.345081274979673,2378,1.5162991984290428,1.4506725328764896,3.9842208834260915
right arm,Matthew,Matthew_session06_relabeled_first_gesture_dropped_filtered.npz,1,5.395811642915354,2378,1.1242689640290284,0.9295418492536323,2.4504050339785017
right arm,Matthew,Matthew_session07_relabeled_first_gesture_dropped_filtered.npz,1,3.608905586777906,2378,1.2858616487617265,1.1204721038537122,2.568280357564287
right arm,Matthew,Matthew_session08_relabeled_first_gesture_dropped_filtered.npz,1,10.098246234900998,2378,1.7205699374460575,1.693437643281999,2.7283011312375782
right arm,Matthew,Matthew_session09_filtered.npz,1,8.219234681628238,2460,2.3978981112258166,2.3434188954706565,2.3831928857762312
right arm,Matthew,Matthew_session10_filtered.npz,1,8.235365648864656,2460,2.5089283928320443,2.416004626900399,2.426797062881657
right arm,Matthew,Matthew_session11_filtered.npz,1,2.4389594875455245,2460,2.56221816252169,2.635990679036363,1.782999051934442
right arm,Matthew,Matthew_session12_filtered.npz,1,6.672189192316967,2460,2.7430237052045756,2.5675657996075323,2.7436105960358796
right arm,Matthew,Matthew_session13_filtered.npz,1,3.048937232304506,2459,2.4929890451433545,2.5485784477031483,2.585807759109913
right arm,Matthew,Matthew_session14_filtered.npz,1,21.928940214819104,2460,2.726482911926304,2.5582144215613716,2.8947616868291135
right arm,Matthew,Matthew_session15_filtered.npz,1,19.38735540354654,2461,3.6004358395133735,3.557012479381531,3.4047421752140075
right arm,Matthew,Matthew_session16_filtered.npz,1,32.733363945004974,2461,3.2105863578595546,3.1255967149884745,2.943048810183528
right arm,Matthew,Matthew_session17_filtered.npz,1,25.13344807591833,2459,3.337055281619614,3.2654656990911755,3.455184289638015
right arm,Matthew,Matthew_session18_filtered.npz,1,17.52140261327115,2460,3.0854029657993594,2.9773583722172936,3.5016108490195643
right arm,Matthew,Matthew_session19_filtered.npz,1,25.393109508431472,2460,3.283199401301697,3.2213028438272686,3.119505208203125
right arm,Matthew,Matthew_session20_filtered.npz,1,1.9032867169047638,2462,2.71835307416616,2.6147118071066835,3.37841563226574
right arm,Matthew,Matthew_session21_filtered.npz,1,45.30207715799904,2460,0.5448109447496317,0.5625349489722754,1.7040740477616574
right arm,Matthew,Matthew_session22_filtered.npz,1,4.832541882126603,2820,2.597948101324546,2.8085264143797852,1.8264640659987115
right arm,subject02,subject02_session01_relabeled_first_gesture_dropped_filtered.npz,1,2.5477529453419163,2375,1.6648558641763294,1.2519105108343502,2.891221480570126
right arm,subject02,subject02_session02_relabeled_first_gesture_dropped_filtered.npz,1,3.7723301825880458,2378,1.4884050487358056,1.1909450817433784,2.588882859484924
right arm,subject02,subject02_session03_relabeled_first_gesture_dropped_filtered.npz,1,2.3985113215626663,2380,2.065775086181852,1.767863749036156,2.5780014535019093
right arm,subject02,subject02_session04_relabeled_first_gesture_dropped_filtered.npz,1,3.487844947309115,2377,1.8401888106066386,1.4512796626531643,2.8682106782210175
right arm,subject02,subject02_session05_relabeled_first_gesture_dropped_filtered.npz,1,2.075704967894529,2378,2.6322550204168866,2.3500991697597877,2.2569604563609156
right arm,subject02,subject02_session06_relabeled_first_gesture_dropped_filtered.npz,1,3.130651300980553,2377,2.6427589863704126,2.295816996738592,2.610611167206548
right arm,subject02,subject02_session07_relabeled_first_gesture_dropped_filtered.npz,1,3.6104120711399847,2378,2.2199522148034583,1.8350107124826969,2.625751769110199
right arm,subject03,subject03_session01_relabeled_first_gesture_dropped_filtered.npz,1,20.066979306252897,2377,1.505582751841403,1.6075956909939417,1.8017667870904126
right arm,subject03,subject03_session02_relabeled_first_gesture_dropped_filtered.npz,1,12.45721220720206,2379,1.3930384409167675,1.3879805154009899,1.7332200518498972
right arm,subject03,subject03_session03_relabeled_first_gesture_dropped_filtered.npz,1,3.85655514741571,2378,1.704325053759564,1.5645467242512214,1.7154276984290593
right arm,subject03,subject03_session04_relabeled_first_gesture_dropped_filtered.npz,1,3.0882682351269053,2378,1.7381925151495468,1.4496372761013812,1.7689915222356176
right arm,subject03,subject03_session05_relabeled_first_gesture_dropped_filtered.npz,1,1.7953985274789273,2378,1.6955560848856066,1.5659252562719839,1.3813609029385618
right arm,subject03,subject03_session06_relabeled_first_gesture_dropped_filtered.npz,1,1.6378676368261238,2378,1.4653860954062226,1.2552262521757604,1.4041603553352968
right arm,subject04,subject04_session01_relabeled_first_gesture_dropped_filtered.npz,1,5.7858009133305055,2377,0.5923720494325513,0.4750619671976084,2.59429108894251
right arm,subject04,subject04_session02_relabeled_first_gesture_dropped_filtered.npz,1,2.71191057522294,2378,0.6052756247722956,0.539998836358998,2.2629104625942404
right arm,subject04,subject04_session03_relabeled_first_gesture_dropped_filtered.npz,1,2.130263520421625,2378,0.7619319917932412,0.6851994089517321,2.9481790965371424
right arm,subject04,subject04_session04_relabeled_first_gesture_dropped_filtered.npz,1,2.3101568488738757,2377,0.6486415638837255,0.5221814939716125,2.9092587798164735
right arm,subject04,subject04_session05_relabeled_first_gesture_dropped_filtered.npz,1,6703.554001492078,2378,1.055576558749918,0.8564435894796432,3.011382457107776
right arm,subject05,subject05_session01_relabeled_first_gesture_dropped_filtered.npz,1,2190.789375718932,2378,1.1398453527735843,0.9699325425860273,1.3426076237346483
right arm,subject05,subject05_session02_relabeled_first_gesture_dropped_filtered.npz,1,2000.4525874774247,2379,1.1957335535003175,1.1135249200445778,1.2734750488048503
right arm,subject05,subject05_session03_relabeled_first_gesture_dropped_filtered.npz,1,1765.577159201454,2378,0.9655780243615358,1.0574585850580192,1.0174172706856104
right arm,subject05,subject05_session04_relabeled_first_gesture_dropped_filtered.npz,1,1377.5542387871153,2378,1.2650124334543984,1.2887848214109807,1.1349563975023476
right arm,subject06,subject06_session01_relabeled_first_gesture_dropped_filtered.npz,1,9542.87539432948,2381,1.737901462933936,1.418804371715155,2.112427382207717
right arm,subject06,subject06_session02_relabeled_first_gesture_dropped_filtered.npz,1,5785.645287185297,2378,1.3681550684492614,1.2081489135420131,1.4996008936786764
